,case_number,prompt,label_str,evaluation_seed,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5,category_top6,index_top6,scores_top6,category_top7,index_top7,scores_top7,category_top8,index_top8,scores_top8,category_top9,index_top9,scores_top9,category_top10,index_top10,scores_top10
0,0,Image of Cassette Player,Cassette Player,3990,cassette,481,0.26272643,radio,754,0.064593814,tape player,848,0.05703136,cassette player,482,0.04417966,loudspeaker,632,0.017506015,cellular telephone,487,0.016228007,Polaroid camera,732,0.015070842,binoculars,447,0.013809183,projector,745,0.013748349,pencil sharpener,710,0.011496927
1,1,Image of Cassette Player,Cassette Player,1311,cassette player,482,0.1449142,tape player,848,0.10811072,radio,754,0.10392188,cassette,481,0.05642276,CD player,485,0.035644572,loudspeaker,632,0.030460676,Polaroid camera,732,0.0148614105,digital clock,530,0.014043793,modem,662,0.012778894,safe,771,0.010105768
2,2,Image of Cassette Player,Cassette Player,9473,radio,754,0.071706764,tape player,848,0.04740787,oscilloscope,688,0.040357873,joystick,613,0.03636541,Polaroid camera,732,0.035696186,switch,844,0.029339299,toaster,859,0.0235433,cassette player,482,0.021665256,safe,771,0.019429464,space heater,811,0.016211579
3,3,Image of Cassette Player,Cassette Player,7618,tape player,848,0.21769932,cassette player,482,0.21470062,cassette,481,0.04200937,CD player,485,0.023987383,radio,754,0.02282344,microwave,651,0.015271983,pay-phone,707,0.0049045626,loudspeaker,632,0.004136969,digital clock,530,0.0037499806,oscilloscope,688,0.0029490835
4,4,Image of Cassette Player,Cassette Player,8274,cassette,481,0.11639536,tape player,848,0.10943758,cassette player,482,0.053152233,printer,742,0.013707615,Polaroid camera,732,0.011345086,CD player,485,0.008707483,hard disc,592,0.008629304,modem,662,0.008440851,cellular telephone,487,0.008380909,pencil sharpener,710,0.0079716705
5,5,Image of Cassette Player,Cassette Player,8369,tape player,848,0.21297131,cassette player,482,0.11088344,CD player,485,0.04313529,hand-held computer,590,0.025586491,radio,754,0.014740005,cassette,481,0.014732612,switch,844,0.010033514,passenger car,705,0.007752231,remote control,761,0.007400181,modem,662,0.007386052
6,6,Image of Cassette Player,Cassette Player,2266,cassette player,482,0.18297817,tape player,848,0.16545819,cassette,481,0.14238456,CD player,485,0.011809163,radio,754,0.008781248,digital clock,530,0.0024539137,modem,662,0.0024202128,iPod,605,0.0022281155,hard disc,592,0.0017826037,screwdriver,784,0.0017242427
7,7,Image of Cassette Player,Cassette Player,5027,tape player,848,0.08058748,cassette player,482,0.062209807,iPod,605,0.05379014,Polaroid camera,732,0.053230133,CD player,485,0.035473812,cassette,481,0.02515462,radio,754,0.022342859,safe,771,0.015054839,digital clock,530,0.012146521,loudspeaker,632,0.011146559
8,8,Image of Cassette Player,Cassette Player,9966,radio,754,0.19007522,mailbox,637,0.035754614,CD player,485,0.025559364,tape player,848,0.023970239,cassette player,482,0.018304843,safe,771,0.014623556,desktop computer,527,0.012708052,loudspeaker,632,0.011060528,space heater,811,0.010378811,television,851,0.008232526
9,9,Image of Cassette Player,Cassette Player,9403,tape player,848,0.2336801,cassette player,482,0.19105646,CD player,485,0.091400936,cassette,481,0.04595678,radio,754,0.028260736,Polaroid camera,732,0.020457,loudspeaker,632,0.0038411473,modem,662,0.0027523506,hard disc,592,0.0026792577,switch,844,0.0024562723
10,10,Image of Cassette Player,Cassette Player,4866,Polaroid camera,732,0.41866526,joystick,613,0.04313697,tape player,848,0.024756446,cassette,481,0.014489396,cassette player,482,0.010308755,hard disc,592,0.006748651,projector,745,0.0060394825,remote control,761,0.0056365402,reflex camera,759,0.00543745,switch,844,0.0052515813
11,11,Image of Cassette Player,Cassette Player,7086,cassette,481,0.31308052,cassette player,482,0.1103852,tape player,848,0.07450522,CD player,485,0.0035838347,racer,751,0.0029906507,radio,754,0.0020780037,chest,492,0.0017662119,marimba,642,0.0016001464,iPod,605,0.0015864739,digital clock,530,0.0015583519
12,12,Image of Cassette Player,Cassette Player,2277,CD player,485,0.16410162,tape player,848,0.11593126,cassette player,482,0.10232693,radio,754,0.07355541,cassette,481,0.019899413,loudspeaker,632,0.008104034,analog clock,409,0.0030364546,home theater,598,0.002734488,digital clock,530,0.002647833,remote control,761,0.0024736174
13,13,Image of Cassette Player,Cassette Player,8834,tape player,848,0.22144932,cassette player,482,0.15370858,cassette,481,0.115614995,radio,754,0.026488092,Polaroid camera,732,0.023911258,pencil sharpener,710,0.016819946,CD player,485,0.015292288,iPod,605,0.0050032157,digital clock,530,0.004028573,loudspeaker,632,0.0021736769
14,14,Image of Cassette Player,Cassette Player,3736,tape player,848,0.30094332,cassette player,482,0.27316064,cassette,481,0.0693025,CD player,485,0.01645169,digital clock,530,0.01035856,oscilloscope,688,0.006143565,radio,754,0.0053054993,Polaroid camera,732,0.0045125377,iPod,605,0.003766783,hand-held computer,590,0.0036906556
15,15,Image of Cassette Player,Cassette Player,3753,cassette,481,0.26980457,cassette player,482,0.086158074,tape player,848,0.06720026,screwdriver,784,0.018095607,computer keyboard,508,0.0068371836,notebook,681,0.0066915755,power drill,740,0.0063192225,reel,758,0.0047717965,modem,662,0.0038067305,hard disc,592,0.0037728045
16,16,Image of Cassette Player,Cassette Player,7545,tape player,848,0.16750808,cassette player,482,0.096264526,desktop computer,527,0.056530043,CD player,485,0.054905344,radio,754,0.046932157,cellular telephone,487,0.021737639,cassette,481,0.021007441,hard disc,592,0.013722607,loudspeaker,632,0.009165298,vending machine,886,0.008548833
17,17,Image of Cassette Player,Cassette Player,5592,Polaroid camera,732,0.07456538,cassette,481,0.06302126,projector,745,0.061286144,joystick,613,0.06066443,tape player,848,0.03233526,cassette player,482,0.031690378,iPod,605,0.021117445,mouse,673,0.010422956,remote control,761,0.009070548,radio,754,0.007411003
18,18,Image of Cassette Player,Cassette Player,4528,iPod,605,0.089319795,analog clock,409,0.047977433,Polaroid camera,732,0.044246245,radio,754,0.02670443,tape player,848,0.026331443,loudspeaker,632,0.022939527,cellular telephone,487,0.019817658,cassette player,482,0.018601255,reflex camera,759,0.017257143,digital clock,530,0.013524378
19,19,Image of Cassette Player,Cassette Player,1385,remote control,761,0.11329141,switch,844,0.08528623,tape player,848,0.056232415,cassette player,482,0.03586032,radio,754,0.02442753,CD player,485,0.023373518,lighter,626,0.016923312,joystick,613,0.013532587,modem,662,0.010835247,cellular telephone,487,0.00975269
20,20,Image of Cassette Player,Cassette Player,1229,cassette,481,0.2626296,cassette player,482,0.16157164,tape player,848,0.14568466,notebook,681,0.0038866827,digital watch,531,0.0037558202,cash machine,480,0.002104224,hard disc,592,0.002028491,CD player,485,0.0020196512,printer,742,0.001832693,iPod,605,0.0016032826
21,21,Image of Cassette Player,Cassette Player,2988,tape player,848,0.068053804,cassette player,482,0.050166618,joystick,613,0.047683306,digital watch,531,0.042227168,Polaroid camera,732,0.020826578,cellular telephone,487,0.02028902,notebook,681,0.01883203,iPod,605,0.017491715,radio,754,0.016475298,computer keyboard,508,0.016390115
22,22,Image of Cassette Player,Cassette Player,9837,cassette,481,0.27507514,tape player,848,0.15019703,cassette player,482,0.12300462,Polaroid camera,732,0.04322936,radio,754,0.012944,CD player,485,0.010886067,carpenter's kit,477,0.0040825135,reflex camera,759,0.0040392727,loudspeaker,632,0.003992543,iPod,605,0.0038647063
23,23,Image of Cassette Player,Cassette Player,1245,cassette,481,0.24853131,tape player,848,0.15472569,cassette player,482,0.1060291,radio,754,0.00721188,CD player,485,0.0031195353,Polaroid camera,732,0.0026528605,switch,844,0.0024348951,digital clock,530,0.002004799,microphone,650,0.0018887107,joystick,613,0.0018844042
