,case_number,prompt,label_str,evaluation_seed,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5,category_top6,index_top6,scores_top6,category_top7,index_top7,scores_top7,category_top8,index_top8,scores_top8,category_top9,index_top9,scores_top9,category_top10,index_top10,scores_top10
0,0,Image of Cassette Player,Cassette Player,3990,tape player,848,0.22110754,cassette player,482,0.14544588,CD player,485,0.07280631,radio,754,0.06725355,cassette,481,0.017330889,loudspeaker,632,0.0021129842,web site,916,0.0018135225,home theater,598,0.001799003,reflex camera,759,0.0017117303,desktop computer,527,0.0016032289
1,1,Image of Cassette Player,Cassette Player,1311,CD player,485,0.13613746,tape player,848,0.10349762,cassette player,482,0.09489218,radio,754,0.08922792,cassette,481,0.029511325,Polaroid camera,732,0.004332658,iPod,605,0.002561809,desktop computer,527,0.002193069,loudspeaker,632,0.0021415928,digital clock,530,0.0019473453
2,2,Image of Cassette Player,Cassette Player,9473,tape player,848,0.3543736,cassette player,482,0.26689094,cassette,481,0.030842246,CD player,485,0.013400652,radio,754,0.00884054,hand-held computer,590,0.002583397,oscilloscope,688,0.0025161633,switch,844,0.0022045511,digital clock,530,0.0020725224,maze,646,0.0017393021
3,3,Image of Cassette Player,Cassette Player,7618,tape player,848,0.102785826,radio,754,0.091082044,CD player,485,0.068700686,cassette player,482,0.060649395,stethoscope,823,0.018518241,cassette,481,0.013722647,loudspeaker,632,0.007896993,lens cap,622,0.002657787,digital clock,530,0.0023187096,analog clock,409,0.0020414318
4,4,Image of Cassette Player,Cassette Player,8274,CD player,485,0.15714915,hard disc,592,0.081729576,tape player,848,0.0758599,iPod,605,0.027154561,remote control,761,0.023131588,cassette,481,0.021053381,cassette player,482,0.013470014,loudspeaker,632,0.011675569,cellular telephone,487,0.008988776,Polaroid camera,732,0.0053391973
5,5,Image of Cassette Player,Cassette Player,8369,tape player,848,0.24521056,radio,754,0.16999426,CD player,485,0.13378495,cassette player,482,0.07639178,toaster,859,0.011355951,cassette,481,0.009152128,analog clock,409,0.0039490676,television,851,0.0034819734,digital clock,530,0.0034793946,stove,827,0.0023797918
6,6,Image of Cassette Player,Cassette Player,2266,tape player,848,0.36921892,cassette player,482,0.14103222,cassette,481,0.051476397,CD player,485,0.044524603,radio,754,0.032833386,home theater,598,0.0058950447,loudspeaker,632,0.0034982339,Polaroid camera,732,0.0033830772,printer,742,0.0030812726,switch,844,0.0029497724
7,7,Image of Cassette Player,Cassette Player,5027,tape player,848,0.15351786,cassette player,482,0.109533876,CD player,485,0.029368142,cassette,481,0.023346175,radio,754,0.022442322,vending machine,886,0.017035495,projector,745,0.014290433,hard disc,592,0.010107357,digital clock,530,0.009470504,scoreboard,781,0.008473593
8,8,Image of Cassette Player,Cassette Player,9966,radio,754,0.2604932,CD player,485,0.07533636,tape player,848,0.0596361,cassette player,482,0.03604048,cassette,481,0.013875189,loudspeaker,632,0.0056442725,space heater,811,0.0034068578,digital clock,530,0.00306088,analog clock,409,0.0029756404,desktop computer,527,0.0021254024
9,9,Image of Cassette Player,Cassette Player,9403,tape player,848,0.2118847,cassette player,482,0.1480595,cassette,481,0.08850406,Polaroid camera,732,0.07443352,loudspeaker,632,0.013218007,CD player,485,0.012058636,radio,754,0.011068888,modem,662,0.0034253215,reflex camera,759,0.0031905335,iPod,605,0.0017488567
