,case_number,prompt,label_str,evaluation_seed,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5,category_top6,index_top6,scores_top6,category_top7,index_top7,scores_top7,category_top8,index_top8,scores_top8,category_top9,index_top9,scores_top9,category_top10,index_top10,scores_top10
0,0,Image of Cassette Player,Cassette Player,3990,tape player,848,0.20006587,cassette player,482,0.10261842,radio,754,0.05753314,CD player,485,0.031198539,desktop computer,527,0.015896877,cassette,481,0.014567226,cash machine,480,0.01391729,loudspeaker,632,0.009795631,oscilloscope,688,0.0047354004,computer keyboard,508,0.003833729
1,1,Image of Cassette Player,Cassette Player,1311,tape player,848,0.18668622,CD player,485,0.17140917,cassette player,482,0.12349907,radio,754,0.04733108,home theater,598,0.02080182,loudspeaker,632,0.015030558,cassette,481,0.014712376,printer,742,0.011871894,entertainment center,548,0.010240896,television,851,0.0081075085
2,2,Image of Cassette Player,Cassette Player,9473,tape player,848,0.23703082,cassette player,482,0.15097225,cassette,481,0.04854384,radio,754,0.047275282,CD player,485,0.024026074,desktop computer,527,0.005743496,loudspeaker,632,0.0049185934,mailbox,637,0.004468981,iPod,605,0.003710476,digital clock,530,0.0035399713
3,3,Image of Cassette Player,Cassette Player,7618,tape player,848,0.17431585,cassette player,482,0.16599408,CD player,485,0.067113414,radio,754,0.017312532,cassette,481,0.014180748,printer,742,0.008683326,convertible,511,0.006067332,ballplayer,981,0.0034465,baseball,429,0.0027979126,cellular telephone,487,0.0027861358
4,4,Image of Cassette Player,Cassette Player,8274,radio,754,0.15116084,CD player,485,0.13668896,tape player,848,0.13509984,cassette player,482,0.112268835,cassette,481,0.016775746,safe,771,0.008078317,television,851,0.0056944047,home theater,598,0.005338364,desktop computer,527,0.004664774,loudspeaker,632,0.0045721983
5,5,Image of Cassette Player,Cassette Player,8369,safe,771,0.14570558,switch,844,0.102407135,loudspeaker,632,0.067301646,tape player,848,0.045638856,radio,754,0.039609957,combination lock,507,0.029046526,CD player,485,0.025653401,cassette player,482,0.024005668,modem,662,0.020482868,joystick,613,0.019717935
6,6,Image of Cassette Player,Cassette Player,2266,tape player,848,0.21517976,cassette player,482,0.16261227,cassette,481,0.08598805,CD player,485,0.026679626,washer,897,0.017802166,radio,754,0.015665159,Polaroid camera,732,0.013415563,hard disc,592,0.0064894794,reflex camera,759,0.0038732078,iPod,605,0.003380194
7,7,Image of Cassette Player,Cassette Player,5027,tape player,848,0.27832675,cassette player,482,0.155661,radio,754,0.06171702,CD player,485,0.03879702,cassette,481,0.02028586,modem,662,0.011171395,digital clock,530,0.009470135,oscilloscope,688,0.00932412,Polaroid camera,732,0.008384471,printer,742,0.007156381
8,8,Image of Cassette Player,Cassette Player,9966,library,624,0.3177627,bookcase,453,0.22526164,bookshop,454,0.03867282,comic book,917,0.0019936168,desktop computer,527,0.0013914814,entertainment center,548,0.0013695755,book jacket,921,0.0010791667,home theater,598,0.0010133917,quill,749,0.0009555376,academic gown,400,0.00088590913
9,9,Image of Cassette Player,Cassette Player,9403,tape player,848,0.2630526,cassette player,482,0.10655222,CD player,485,0.081265144,cassette,481,0.033578046,radio,754,0.021935293,loudspeaker,632,0.003511967,home theater,598,0.0032239174,mailbox,637,0.0025006803,digital clock,530,0.0020290234,cash machine,480,0.0019944797
10,10,Image of Cassette Player,Cassette Player,4866,CD player,485,0.2839293,tape player,848,0.14049959,cassette player,482,0.057136178,tray,868,0.026502691,radio,754,0.01648101,modem,662,0.013179377,desktop computer,527,0.010197987,loudspeaker,632,0.00973481,monitor,664,0.00859016,cassette,481,0.0051559373
11,11,Image of Cassette Player,Cassette Player,7086,CD player,485,0.1785412,microwave,651,0.086294405,tape player,848,0.07207194,cassette player,482,0.05265275,printer,742,0.048523806,radio,754,0.043521494,photocopier,713,0.021136632,loudspeaker,632,0.011143514,stove,827,0.010900512,safe,771,0.010361399
12,12,Image of Cassette Player,Cassette Player,2277,tape player,848,0.121092945,cassette player,482,0.08548276,printer,742,0.05833711,CD player,485,0.0507917,cassette,481,0.05018409,hand-held computer,590,0.02658062,scale,778,0.023933202,Polaroid camera,732,0.023095854,iPod,605,0.014191558,packet,692,0.011685167
13,13,Image of Cassette Player,Cassette Player,8834,tape player,848,0.22742903,CD player,485,0.15686348,cassette player,482,0.13029248,printer,742,0.04515775,cassette,481,0.024254017,cash machine,480,0.022352757,radio,754,0.0104786,modem,662,0.009636003,hard disc,592,0.0057786442,photocopier,713,0.0051148958
14,14,Image of Cassette Player,Cassette Player,3736,tape player,848,0.21761009,radio,754,0.080832176,cassette player,482,0.058311842,combination lock,507,0.051774573,safe,771,0.049747147,CD player,485,0.04306979,loudspeaker,632,0.031254597,digital clock,530,0.023198985,printer,742,0.01898495,space heater,811,0.013227071
15,15,Image of Cassette Player,Cassette Player,3753,switch,844,0.24745648,desktop computer,527,0.03086152,loudspeaker,632,0.020898838,radio,754,0.016647507,tape player,848,0.014170065,remote control,761,0.010661624,CD player,485,0.0103417095,mailbox,637,0.009157256,cassette player,482,0.008016471,hard disc,592,0.007685339
16,16,Image of Cassette Player,Cassette Player,7545,radio,754,0.45984498,tape player,848,0.093618184,cassette player,482,0.05255873,CD player,485,0.027570628,cassette,481,0.012177107,swab,840,0.0059253746,broom,462,0.0057835784,loudspeaker,632,0.0050343764,Polaroid camera,732,0.004768143,home theater,598,0.0033307231
17,17,Image of Cassette Player,Cassette Player,5592,tape player,848,0.16696578,cassette player,482,0.1059882,CD player,485,0.10326556,radio,754,0.0735639,cassette,481,0.028748866,Polaroid camera,732,0.008905091,desktop computer,527,0.008754008,loudspeaker,632,0.008717651,hard disc,592,0.0028928472,digital clock,530,0.0027190133
18,18,Image of Cassette Player,Cassette Player,4528,library,624,0.10598359,file,553,0.100577064,paintbrush,696,0.055412374,binder,446,0.051903047,bookcase,453,0.041746557,plate rack,729,0.018919175,cassette,481,0.011588829,bookshop,454,0.0070883147,carton,478,0.007061249,tobacco shop,860,0.005857643
19,19,Image of Cassette Player,Cassette Player,1385,dishwasher,534,0.18169457,refrigerator,760,0.082054466,stove,827,0.043849386,space heater,811,0.029335475,microwave,651,0.023681885,desktop computer,527,0.019638726,toaster,859,0.009393025,file,553,0.008243818,printer,742,0.006503627,space bar,810,0.006340585
20,20,Image of Cassette Player,Cassette Player,1229,cassette,481,0.1762915,cassette player,482,0.14230236,tape player,848,0.111211956,CD player,485,0.027009761,radio,754,0.011475822,loudspeaker,632,0.003944599,modem,662,0.0025205985,digital clock,530,0.0018718407,crate,519,0.0016223612,chest,492,0.0015657895
21,21,Image of Cassette Player,Cassette Player,2988,tape player,848,0.3047616,cassette player,482,0.12617052,cassette,481,0.084481426,radio,754,0.04044181,CD player,485,0.035813656,sewing machine,786,0.017770365,typewriter keyboard,878,0.0048019355,space bar,810,0.0045795464,Polaroid camera,732,0.004389119,oscilloscope,688,0.003757775
22,22,Image of Cassette Player,Cassette Player,9837,tape player,848,0.20544651,cassette player,482,0.14106807,CD player,485,0.11387531,radio,754,0.063071914,cassette,481,0.012650118,television,851,0.010254879,microwave,651,0.0053865085,entertainment center,548,0.0052337707,home theater,598,0.0048289234,digital clock,530,0.004614755
23,23,Image of Cassette Player,Cassette Player,1245,cassette player,482,0.2128823,tape player,848,0.20170654,cassette,481,0.06021796,CD player,485,0.010063441,radio,754,0.00853447,cash machine,480,0.0048035444,digital clock,530,0.0030355102,web site,916,0.0028427255,Polaroid camera,732,0.0026781766,modem,662,0.0026371973
24,24,Image of Cassette Player,Cassette Player,6897,cassette player,482,0.178271,tape player,848,0.17419101,CD player,485,0.0901527,cash machine,480,0.068857424,cassette,481,0.026263623,radio,754,0.014232521,loudspeaker,632,0.005673882,printer,742,0.005053901,mailbox,637,0.0032342318,photocopier,713,0.003004845
25,25,Image of Cassette Player,Cassette Player,2952,tape player,848,0.08248755,desktop computer,527,0.05461196,cassette player,482,0.05195565,CD player,485,0.04931785,radio,754,0.03319387,modem,662,0.030097539,loudspeaker,632,0.027753323,space heater,811,0.023041213,wooden spoon,910,0.01850654,mouse,673,0.017714242
