,case_number,prompt,label_str,evaluation_seed,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5,category_top6,index_top6,scores_top6,category_top7,index_top7,scores_top7,category_top8,index_top8,scores_top8,category_top9,index_top9,scores_top9,category_top10,index_top10,scores_top10
0,0,Image of Cassette Player,Cassette Player,3990,tape player,848,0.13360062,CD player,485,0.12367745,radio,754,0.12357087,cassette player,482,0.040260892,cellular telephone,487,0.022347584,desktop computer,527,0.02148304,loudspeaker,632,0.014277395,remote control,761,0.012130425,Polaroid camera,732,0.009855583,cassette,481,0.00940833
1,1,Image of Cassette Player,Cassette Player,1311,cash machine,480,0.12898143,vending machine,886,0.06403976,radio,754,0.046109878,tape player,848,0.045264695,cassette player,482,0.027400732,oscilloscope,688,0.019513046,cassette,481,0.015417887,CD player,485,0.012950755,screen,782,0.011793806,loudspeaker,632,0.008548977
2,2,Image of Cassette Player,Cassette Player,9473,cassette,481,0.16120301,tape player,848,0.14592257,cassette player,482,0.13365346,CD player,485,0.028052714,radio,754,0.016283687,Polaroid camera,732,0.01205409,loudspeaker,632,0.00566267,digital clock,530,0.0024914115,projector,745,0.0024194936,cellular telephone,487,0.0016599639
3,3,Image of Cassette Player,Cassette Player,7618,tape player,848,0.1402053,cassette player,482,0.10215859,CD player,485,0.09072609,radio,754,0.036884397,cassette,481,0.02119864,digital clock,530,0.0033137188,tile roof,858,0.003159278,analog clock,409,0.0027873763,jeep,609,0.0025385816,convertible,511,0.0022680268
4,4,Image of Cassette Player,Cassette Player,8274,tape player,848,0.25477764,cassette player,482,0.20383775,cassette,481,0.033822104,CD player,485,0.025671476,radio,754,0.011954832,cash machine,480,0.0030763394,desktop computer,527,0.0026842637,modem,662,0.0025554693,loudspeaker,632,0.002153961,analog clock,409,0.0019727221
5,5,Image of Cassette Player,Cassette Player,8369,tape player,848,0.20427041,cassette player,482,0.101346135,CD player,485,0.080997884,radio,754,0.058469612,space heater,811,0.041966602,cassette,481,0.027587172,switch,844,0.023874685,loudspeaker,632,0.016478142,modem,662,0.011933885,digital clock,530,0.009761786
6,6,Image of Cassette Player,Cassette Player,2266,cellular telephone,487,0.28164667,iPod,605,0.03348064,radio,754,0.030028846,hand-held computer,590,0.027577087,tape player,848,0.026471011,remote control,761,0.025212428,CD player,485,0.020070184,reflex camera,759,0.016779585,combination lock,507,0.01239291,modem,662,0.010277112
7,7,Image of Cassette Player,Cassette Player,5027,tape player,848,0.36882803,cassette player,482,0.16585617,CD player,485,0.05905803,radio,754,0.0482236,cassette,481,0.016926963,hard disc,592,0.016386494,modem,662,0.011736879,digital clock,530,0.0070617055,printer,742,0.0068272217,cash machine,480,0.0058627077
8,8,Image of Cassette Player,Cassette Player,9966,Polaroid camera,732,0.28502235,mailbox,637,0.11837458,tape player,848,0.06321025,cassette,481,0.051604062,CD player,485,0.020227183,cassette player,482,0.018857475,chimpanzee,367,0.011272616,loudspeaker,632,0.0061226455,brass,458,0.0061198,fire screen,556,0.0060091307
9,9,Image of Cassette Player,Cassette Player,9403,tape player,848,0.2504221,cassette player,482,0.15264465,cassette,481,0.10953568,CD player,485,0.03246021,radio,754,0.0074728634,dung beetle,305,0.0026826807,printer,742,0.0022045372,digital clock,530,0.0017231161,leatherback turtle,34,0.0017142032,horned viper,66,0.0016859836
10,10,Image of Cassette Player,Cassette Player,4866,CD player,485,0.34839815,tape player,848,0.11033675,cassette player,482,0.031745147,radio,754,0.015634263,scale,778,0.014363337,loudspeaker,632,0.010130913,stopwatch,826,0.0092948945,hand-held computer,590,0.008916311,iPod,605,0.008119683,modem,662,0.00753052
11,11,Image of Cassette Player,Cassette Player,7086,CD player,485,0.29257047,radio,754,0.08110106,tape player,848,0.062512934,cassette player,482,0.046288703,microwave,651,0.02816592,safe,771,0.00822908,printer,742,0.008107844,loudspeaker,632,0.007101173,home theater,598,0.0064514643,stove,827,0.0055410755
12,12,Image of Cassette Player,Cassette Player,2277,tape player,848,0.18471695,cassette player,482,0.12109576,cassette,481,0.06530492,CD player,485,0.06488778,printer,742,0.052340757,iPod,605,0.02879001,scale,778,0.023337498,Polaroid camera,732,0.016059471,hard disc,592,0.008684122,notebook,681,0.0075943475
13,13,Image of Cassette Player,Cassette Player,8834,cassette,481,0.18187593,tape player,848,0.12874469,cassette player,482,0.10116955,CD player,485,0.028846344,radio,754,0.011584065,Polaroid camera,732,0.00500041,modem,662,0.0036319136,hard disc,592,0.0034246522,space heater,811,0.0026443277,switch,844,0.0026191717
14,14,Image of Cassette Player,Cassette Player,3736,radio,754,0.14650936,tape player,848,0.078047134,cassette player,482,0.05184602,CD player,485,0.030330822,television,851,0.02212142,switch,844,0.017585294,space heater,811,0.015843939,loudspeaker,632,0.013998085,reflex camera,759,0.010417385,cassette,481,0.0085456455
15,15,Image of Cassette Player,Cassette Player,3753,radio,754,0.08878479,loudspeaker,632,0.045652352,desktop computer,527,0.04305105,CD player,485,0.04303225,tape player,848,0.032857377,cassette player,482,0.023305697,remote control,761,0.01362685,cash machine,480,0.013219654,switch,844,0.013137221,safe,771,0.012235877
16,16,Image of Cassette Player,Cassette Player,7545,radio,754,0.55442417,tape player,848,0.07333598,cassette player,482,0.059291214,CD player,485,0.014787822,loudspeaker,632,0.008441261,cassette,481,0.0047253384,fire engine,555,0.0028972898,home theater,598,0.0028097022,ambulance,407,0.0024925815,fire screen,556,0.001894051
