,case_number,prompt,label_str,evaluation_seed,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5,category_top6,index_top6,scores_top6,category_top7,index_top7,scores_top7,category_top8,index_top8,scores_top8,category_top9,index_top9,scores_top9,category_top10,index_top10,scores_top10
0,0,Image of Cassette Player,Cassette Player,3990,tape player,848,0.24511285,cassette player,482,0.09987431,CD player,485,0.09458513,radio,754,0.053000476,cassette,481,0.015295809,oscilloscope,688,0.007557894,loudspeaker,632,0.0075291065,washer,897,0.006565712,mailbox,637,0.004884726,cash machine,480,0.0046595633
1,1,Image of Cassette Player,Cassette Player,1311,tape player,848,0.31278297,cassette player,482,0.09996305,CD player,485,0.09529562,desktop computer,527,0.05157598,cassette,481,0.02491439,radio,754,0.016592493,cash machine,480,0.008274405,space heater,811,0.0063859937,hard disc,592,0.006108681,vending machine,886,0.0045451727
2,2,Image of Cassette Player,Cassette Player,9473,Polaroid camera,732,0.15924287,cassette,481,0.15108377,pencil sharpener,710,0.11802688,tape player,848,0.04983217,cassette player,482,0.04322973,radio,754,0.018467674,safe,771,0.013654055,cellular telephone,487,0.012259447,loudspeaker,632,0.009451699,projector,745,0.005338557
3,3,Image of Cassette Player,Cassette Player,7618,tape player,848,0.16156526,CD player,485,0.12179006,cassette player,482,0.08676271,cassette,481,0.038681556,radio,754,0.02257191,loudspeaker,632,0.004673726,mailbox,637,0.0042435327,home theater,598,0.0036930474,analog clock,409,0.0036588782,baseball,429,0.0027180165
4,4,Image of Cassette Player,Cassette Player,8274,tape player,848,0.18676186,cassette player,482,0.18237594,cassette,481,0.030864898,CD player,485,0.029020367,cash machine,480,0.019299287,radio,754,0.013624577,television,851,0.008390337,safe,771,0.0060426197,monitor,664,0.004674915,entertainment center,548,0.004317788
5,5,Image of Cassette Player,Cassette Player,8369,loudspeaker,632,0.2842367,cassette,481,0.09138626,tape player,848,0.06117948,switch,844,0.045579534,cassette player,482,0.026941517,radio,754,0.023574097,projector,745,0.018561075,CD player,485,0.013902125,safe,771,0.009045536,joystick,613,0.0061556026
6,6,Image of Cassette Player,Cassette Player,2266,radio,754,0.19083935,tape player,848,0.05151255,cassette,481,0.050509103,CD player,485,0.049748253,safe,771,0.042333588,cassette player,482,0.034629732,Polaroid camera,732,0.02179217,modem,662,0.01865167,loudspeaker,632,0.016473077,projector,745,0.014167877
7,7,Image of Cassette Player,Cassette Player,5027,tape player,848,0.12011247,cassette player,482,0.09954203,Polaroid camera,732,0.09913041,radio,754,0.062253773,CD player,485,0.04403992,cassette,481,0.015274053,modem,662,0.007886646,digital clock,530,0.006530573,projector,745,0.0049555907,stopwatch,826,0.004628982
8,8,Image of Cassette Player,Cassette Player,9966,cassette player,482,0.15298232,tape player,848,0.13839531,cassette,481,0.051901873,CD player,485,0.033536505,crutch,523,0.023219936,shovel,792,0.018537007,radio,754,0.018190095,hatchet,596,0.017578078,hammer,587,0.016760522,screwdriver,784,0.016434558
9,9,Image of Cassette Player,Cassette Player,9403,tape player,848,0.3071635,cassette player,482,0.1406063,cassette,481,0.078682385,CD player,485,0.053252008,printer,742,0.026606549,radio,754,0.010793973,Polaroid camera,732,0.007295216,photocopier,713,0.004904163,cash machine,480,0.0041825855,loudspeaker,632,0.0032095183
